0,1
1,2
3,5
4,14
369,607
220,628
83,254
605,361
381,92
508,408
565,500
506,385
706,452
496,209
542,174
538,349
486,610
411,561
402,167
404,323
32,383
300,251
275,269
355,179
309,274
308,446
102,449
221,158
631,313
461,474
654,541
439,178
224,293
289,554
94,186
543,578
562,602
475,239
202,234
457,250
271,491
668,587
428,485
557,434
633,568
135,98
464,490
200,295
638,52
128,253
90,672
73,390
617,644
20,674
277,29
263,218
586,476
547,240
170,352
259,34
513,642
168,266
569,64
469,354
515,418
679,573
658,189
623,593
584,692
132,574
107,577
575,426
100,589
268,70
67,176
536,527
346,54
49,247
140,306
667,395
160,677
153,318
442,347
598,516
353,122
104,196
415,563
611,564
273,560
296,350
319,242
378,244
545,286
278,372
246,149
184,590
504,641
91,231
531,232
556,540
126,51
207,245
139,57
455,243
550,58
482,342
570,422
664,225
703,257
17,444
409,229
690,68
620,195
93,166
222,155
505,119
130,380
24,445
50,683
19,316
